﻿ID,CLMARK,CAT,RT,OJ,CAT_DESCR,RNG,PROD,TYP,CALS,CAL 1,CAL N,NOK CAL,CI,Days,Left,Right
302002,112.11,D,V 22,,,750,Mitutoyo,533,4,1992-04-23 00:00:00,2024-06-11 00:00:00,,1,11737,11737,99999
302001,112.11,D,V 22,PKM,Obrábění,750,Mitutoyo,533,7,1992-04-23 00:00:00,2023-07-14 00:00:00,,3,11404,11404,99999
203107,112.11,C,V270,PF1-K,Údržba,150,Somet,,5,1994-03-23 00:00:00,2024-01-22 00:00:00,,6,10897,10897,99999
200849,112.11,C,V270,PF1-K,Údržba,150,Somet,,6,1994-03-23 00:00:00,2023-02-13 00:00:00,,6,10554,10554,99999
37002,112.11,D,V 22,,,150,China,,8,1998-05-14 00:00:00,2025-07-02 00:00:00,2025-07-02 00:00:00,5,9911,8056,8604
200834,112.11,C,V270,PF2-K,Svařovna,150,Somet,,5,1994-03-23 00:00:00,2020-02-18 00:00:00,,6,9463,9463,99999
33534,112.11,D,V 22,PKG,Hutě,150,,,10,1997-04-07 00:00:00,2023-01-24 00:00:00,,4,9423,9423,99999
203341,112.11,C,V270,PF1-K,Svařovna,150,Somet,,5,2000-02-01 00:00:00,2025-07-21 00:00:00,,3,9302,9302,99999
203274,112.11,D,V270,,,160,Somet,,5,1999-12-14 00:00:00,2025-04-16 00:00:00,,6,9255,9255,99999
32119,112.11,D,V 22,,,150,,,8,1996-08-07 00:00:00,2021-11-18 00:00:00,,3,9234,9234,99999
203160,112.11,C,V270,PF1-K,Údržba,150,Somet,,5,1996-10-14 00:00:00,2021-12-20 00:00:00,,6,9198,9198,99999
201835,112.12,C,V260,PF2-M,Údržba,150,Mitutoyo,,6,2000-01-21 00:00:00,2025-02-13 00:00:00,,5,9155,9155,99999
15020,112.12,B,V 22,PKT/1,TK,150,Mitutoyo,500,9,2000-03-02 00:00:00,2025-03-17 00:00:00,,3,9146,9146,99999
201654,112.11,C,V260,,,300,Samson,MPS300,6,1999-10-18 00:00:00,2024-10-14 00:00:00,,5,9128,9128,99999
201655,112.11,C,V260,,,300,Samson,,6,1999-10-18 00:00:00,2024-10-14 00:00:00,,5,9128,9128,99999
201827,112.12,B,V260,PFS-K/4,Sklad,300,Kinex,MPS300,6,1999-10-18 00:00:00,2024-10-14 00:00:00,,5,9128,9128,99999
201648,112.11,C,V260,,,300,Samson,,6,1999-10-18 00:00:00,2024-10-11 00:00:00,,5,9125,9125,99999
203047,112.12,B,V270,PPF-K,Vedení,150,Mitutoyo,500,6,1999-09-07 00:00:00,2024-07-29 00:00:00,,4,9092,9092,99999
202370,112.11,C,V160,PFO-P/31,Údržba,200,Somet,,4,2000-01-13 00:00:00,2024-12-02 00:00:00,,6,9090,9090,99999
27032,112.12,B,V 22,PKT/1,TK,150,Somet,,9,2000-02-23 00:00:00,2025-01-03 00:00:00,,3,9081,9081,99999
41354,112.11,B,V 10,PSW-T,Sklad,120,,,9,2000-11-15 00:00:00,2025-07-25 00:00:00,,4,9018,9018,99999
201048,112.11,A,V160,GQF-3,Kvalita,150,Somet,,5,2000-04-11 00:00:00,2024-11-27 00:00:00,,6,8996,8996,99999
306262,112.11,C,V180,,,150,Somet,,5,2000-02-28 00:00:00,2024-10-08 00:00:00,2024-10-08 00:00:00,6,8989,6743,6882
41702,112.12,C,V 10,PSW-F,Montáž,150,Somet,,9,2000-12-22 00:00:00,2025-07-25 00:00:00,,4,8981,8981,99999
17937,112.11,C,V 22,PKT/21,Údržba,160,Somet,,7,2000-11-15 00:00:00,2025-05-14 00:00:00,,4,8946,8946,99999
304957,112.11,C,V160,PFO-P/21,Údržba,160,Somet,,5,2000-11-24 00:00:00,2025-05-12 00:00:00,,6,8935,8935,99999
305443,112.11,C,V 22,PKT/4,Údržba,150,,,6,1999-01-25 00:00:00,2023-07-03 00:00:00,,4,8925,8925,99999
203376,112.11,C,V270,PF2-K,Údržba,150,Somet,,5,1999-10-22 00:00:00,2024-03-22 00:00:00,,6,8918,8918,99999
38586,112.12,D,V 10,PSW-F,Obrábění,300,Mitutoyo,500,8,2000-12-11 00:00:00,2025-04-29 00:00:00,,4,8905,8905,99999
16271,112.12,B,M6,PKT/1,TK,300,Mitutoyo,551,9,2000-06-02 00:00:00,2024-10-15 00:00:00,2024-10-15 00:00:00,3,8901,7768,9472
17520,112.12,B,M6,PKT/1,TK,200,Mitutoyo,500,9,2000-06-02 00:00:00,2024-10-15 00:00:00,,3,8901,8901,99999
41286,112.11,D,V 10,PSW-F,Obrábění,150,,,8,2000-09-27 00:00:00,2025-02-07 00:00:00,,4,8899,8899,99999
32205,112.11,C,V 22,PKT/21,Údržba,160,Somet,,9,2000-11-10 00:00:00,2025-03-20 00:00:00,2025-03-20 00:00:00,4,8896,7395,8896
202337,112.11,C,V160,,,150,Somet,,5,1999-09-10 00:00:00,2024-01-16 00:00:00,2024-01-16 00:00:00,6,8894,6656,7119
203367,112.11,C,V270,PF2-K,Údržba,150,Somet,,5,1999-10-27 00:00:00,2024-02-20 00:00:00,,6,8882,8882,99999
39691,112.11,D,V 10,PSW-F,Obrábění,150,Mitutoyo,505,8,2001-01-26 00:00:00,2025-05-22 00:00:00,,1,8882,8882,99999
44351,112.12,A,GQG-3,GQG-3,Kvalita,,Mitutoyo,500,6,2000-02-11 00:00:00,2024-05-28 00:00:00,,4,8873,8873,99999
202290,112.11,C,V160,PFO-P/31,Údržba,150,Somet,,5,2000-11-21 00:00:00,2025-03-04 00:00:00,,6,8869,8869,99999
201034,112.11,C,V160,PFO-P/31,Údržba,150,Somet,,5,2000-03-31 00:00:00,2024-06-28 00:00:00,,6,8855,8855,99999
41304,112.11,D,V 10,PSW-F,Hutě,150,,,8,2000-12-05 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,4,8847,7365,8204
304958,112.11,C,V160,,,160,Somet,,5,2000-11-24 00:00:00,2025-02-11 00:00:00,,6,8845,8845,99999
30343,112.12,B,V 22,PKT/1,TK,300,Hommel,,13,2000-08-15 00:00:00,2024-10-25 00:00:00,,2,8837,8837,99999
201110,112.11,A,V160,GQF-3,Kvalita,150,Somet,,5,1999-09-21 00:00:00,2023-11-15 00:00:00,,6,8821,8821,99999
202332,112.11,B,V160,PFS-K/1,Vedení,150,Somet,,5,1999-11-24 00:00:00,2024-01-16 00:00:00,,6,8819,8819,99999
41421,112.11,B,V 10,PSW-T,Sklad,250,Somet,,8,2000-10-20 00:00:00,2024-12-11 00:00:00,,4,8818,8818,99999
202330,112.11,C,V160,PFO-P/21,Údržba,150,Somet,,5,1999-10-18 00:00:00,2023-12-08 00:00:00,,6,8817,8817,99999
39707,112.11,C,V 29,PSW-P,Montáž,400,Somet,,9,2000-10-19 00:00:00,2025-01-15 00:00:00,2024-12-09 00:00:00,4,8817,7335,8210
202289,112.11,C,V160,PFO-P/31,Údržba,150,Somet,,5,1999-04-22 00:00:00,2023-06-07 00:00:00,,6,8812,8812,99999
200312,112.11,C,VL10,PFO-L/51,Údržba,150,Somet,,5,1999-09-14 00:00:00,2023-10-19 00:00:00,,6,8801,8801,99999
200313,112.11,B,VL10,PFS-K/4,Sklad,150,Somet,,5,2000-07-26 00:00:00,2024-08-30 00:00:00,,6,8801,8801,99999
200455,112.11,C,VL10,PFO-L/52,Údržba,150,Somet,,4,2000-07-26 00:00:00,2024-08-30 00:00:00,,6,8801,8801,99999
200457,112.11,C,VL10,PFO-L/52,Údržba,150,Somet,,6,1999-09-14 00:00:00,2023-11-02 00:00:00,2023-10-19 00:00:00,6,8801,6594,7408
200458,112.11,C,VL10,PFO-L/52,Údržba,150,Somet,,5,1999-09-14 00:00:00,2023-10-19 00:00:00,,6,8801,8801,99999
200475,112.11,C,VL10,,,150,Somet,,5,2000-07-26 00:00:00,2024-08-30 00:00:00,,6,8801,8801,99999
201044,112.11,C,V160,PFO-P/31,Údržba,150,Somet,,5,2000-04-11 00:00:00,2024-05-09 00:00:00,,6,8794,8794,99999
200309,112.11,C,VL10,PFO-L/52,Údržba,150,Somet,,5,1998-01-21 00:00:00,2022-02-02 00:00:00,2022-02-02 00:00:00,6,8778,6573,6833
200422,112.11,C,VL10,PFO-L/52,Údržba,150,Somet,,4,1998-01-14 00:00:00,2022-01-26 00:00:00,,6,8778,8778,99999
200264,112.11,C,VL10,,,160,Somet,,5,1999-02-24 00:00:00,2023-03-06 00:00:00,,6,8776,8776,99999
202322,112.11,C,V160,PFO-P/31,Údržba,150,Somet,,5,2000-03-15 00:00:00,2024-03-25 00:00:00,,6,8776,8776,99999
200269,112.11,C,VL10,,,150,Somet,,4,1998-01-19 00:00:00,2022-01-27 00:00:00,2022-01-27 00:00:00,6,8774,6575,6828
200314,112.11,C,VL10,,,150,Somet,,5,1998-01-19 00:00:00,2022-01-27 00:00:00,2022-01-27 00:00:00,6,8774,6575,6827
200424,112.11,C,VL10,PFO-L/52,Údržba,150,Somet,,4,1998-01-19 00:00:00,2022-01-27 00:00:00,2022-01-27 00:00:00,6,8774,6575,6819
200474,112.11,C,VL10,PFO-L/52,Údržba,150,Somet,,6,1998-01-19 00:00:00,2022-01-27 00:00:00,2022-01-27 00:00:00,6,8774,6575,6712
200382,112.11,C,VL10,PFO-L/52,Údržba,150,Somet,,4,1998-01-19 00:00:00,2022-01-26 00:00:00,2022-01-26 00:00:00,6,8773,6575,6819
200267,112.11,C,VL10,PFO-L/52,Údržba,150,Somet,,5,1998-01-19 00:00:00,2022-01-25 00:00:00,2022-01-25 00:00:00,6,8772,6575,6826
200268,112.11,C,VL10,,,150,Somet,,5,1998-01-19 00:00:00,2022-01-25 00:00:00,2022-01-25 00:00:00,6,8772,6575,6826
200370,112.11,C,VL10,PFO-L/52,Údržba,150,Somet,,5,1998-01-19 00:00:00,2022-01-25 00:00:00,2022-01-25 00:00:00,6,8772,6575,6823
200374,112.11,C,VL10,,,150,Somet,,5,1998-01-19 00:00:00,2022-01-25 00:00:00,2022-01-25 00:00:00,6,8772,6575,6822
200420,112.11,A,VL10,GQF-1,Kvalita,150,Somet,,5,1998-01-19 00:00:00,2022-01-25 00:00:00,,6,8772,8772,99999
200352,112.11,C,VL10,PFO-L/52,Údržba,150,Somet,,4,1998-01-21 00:00:00,2022-01-25 00:00:00,,6,8770,8770,99999
200453,112.11,C,VL10,PFO-L/52,Údržba,150,Somet,,4,1998-01-21 00:00:00,2022-01-25 00:00:00,2022-01-25 00:00:00,6,8770,6573,6782
200221,112.11,C,VL10,,,200,Somet,,5,1997-09-25 00:00:00,2021-09-22 00:00:00,,6,8763,8763,99999
200225,112.11,C,VL10,,,200,Somet,,5,1997-09-25 00:00:00,2021-09-22 00:00:00,,6,8763,8763,99999
200226,112.11,C,VL10,PFO-L/52,Údržba,200,Somet,,6,1997-09-25 00:00:00,2021-09-22 00:00:00,,6,8763,8763,99999
200429,112.11,C,VL10,PFO-L/52,Údržba,200,Somet,,6,1997-09-25 00:00:00,2021-09-22 00:00:00,,6,8763,8763,99999
200418,112.11,C,VL10,PFO-L/52,Údržba,160,Somet,,5,1997-06-27 00:00:00,2021-06-23 00:00:00,,6,8762,8762,99999
201534,112.11,C,V160,PFO-P/31,Údržba,250,Somet,,5,1998-05-13 00:00:00,2022-05-09 00:00:00,,6,8762,8762,99999
200373,112.11,C,VL20,PFO-B/2,Údržba,150,Somet,,5,1998-01-19 00:00:00,2022-01-12 00:00:00,,6,8759,8759,99999
200248,112.11,C,VL10,PFO-L/4,Údržba,160,Somet,,5,1999-02-24 00:00:00,2023-02-13 00:00:00,,6,8755,8755,99999
200266,112.11,B,VL10,PFS-K/4,Sklad,160,Somet,,5,1999-02-24 00:00:00,2023-02-13 00:00:00,,6,8755,8755,99999
41202,112.11,C,V 10,PSW-F,Montáž,150,Kinex,,8,1999-09-28 00:00:00,2023-09-05 00:00:00,,4,8743,8743,99999
41441,112.11,C,V 10,PSW-F,Montáž,300,VIS,,8,1999-10-15 00:00:00,2023-09-19 00:00:00,,4,8740,8740,99999
200230,112.11,C,VL10,,,160,Somet,,5,1999-02-24 00:00:00,2023-01-26 00:00:00,,6,8737,8737,99999
200238,112.11,C,VL10,,,160,Somet,,5,1999-02-24 00:00:00,2023-01-26 00:00:00,,6,8737,8737,99999
200239,112.11,C,VL10,PFO-L/52,Údržba,160,Somet,,5,1999-02-24 00:00:00,2023-01-26 00:00:00,,6,8737,8737,99999
200247,112.11,C,VL10,,,160,Somet,,5,1999-02-24 00:00:00,2023-01-26 00:00:00,,6,8737,8737,99999
200253,112.11,C,VL10,PFO-L/52,Údržba,160,Somet,,5,1999-02-24 00:00:00,2023-01-26 00:00:00,,6,8737,8737,99999
200254,112.11,C,VL10,,,160,Somet,,5,1999-02-24 00:00:00,2023-01-26 00:00:00,,6,8737,8737,99999
200261,112.11,C,VL10,PFO-L/52,Údržba,160,Somet,,5,1999-02-24 00:00:00,2023-01-26 00:00:00,2023-01-26 00:00:00,6,8737,6540,7192
200350,112.11,C,VL10,PFO-L/52,Údržba,160,Somet,,5,1999-02-24 00:00:00,2023-01-26 00:00:00,,6,8737,8737,99999
200353,112.11,C,VL10,,,160,Somet,,5,1999-02-24 00:00:00,2023-01-26 00:00:00,,6,8737,8737,99999
