PROD_TYP,n,NOK,v_eta,eta_multiplier,v_k,k_multiplier,eta_active,k_active
China||31-1723,1,0,0.0,1.0,0.0,1.0,False,False
China||536,1,0,0.0,1.0,0.0,1.0,False,False
FACOM||1300E,1,0,0.0,1.0,0.0,1.0,False,False
"FACOM||270A,",2,0,0.0,1.0,0.0,1.0,False,False
FACOM||MPS150,19,1,0.0,1.0,0.0,1.0,False,False
HHW||5015947,1,1,0.0,1.0,0.0,1.0,False,False
Hommel||31007,16,4,0.0,1.0,0.0,1.0,False,False
Insize||1108-150,11,2,0.0,1.0,0.0,1.0,False,False
Insize||1112-150,82,10,0.0,1.0,0.0,1.0,False,False
Insize||1112-200,7,1,0.0,1.0,0.0,1.0,False,False
Insize||1112-300,18,2,0.0,1.0,0.0,1.0,False,False
Insize||1114-300,2,1,0.0,1.0,0.0,1.0,False,False
Insize||1118-300,1,0,0.0,1.0,0.0,1.0,False,False
Insize||1187-150,1,0,0.0,1.0,0.0,1.0,False,False
Insize||1204-70,1,0,0.0,1.0,0.0,1.0,False,False
KMITEX||11016551,1,0,0.0,1.0,0.0,1.0,False,False
KMITEX||6000,1,0,0.0,1.0,0.0,1.0,False,False
KS TOOLS||MPS300,1,0,0.0,1.0,0.0,1.0,False,False
Kinex||1150D,1,1,0.0,1.0,0.0,1.0,False,False
Kinex||500,8,0,0.0,1.0,0.0,1.0,False,False
Kinex||6000,1,0,0.0,1.0,0.0,1.0,False,False
Kinex||955,1,1,0.0,1.0,0.0,1.0,False,False
Kinex||957,2,1,0.0,1.0,0.0,1.0,False,False
Kinex||MPS150,1,0,0.0,1.0,0.0,1.0,False,False
Kinex||MPS300,1,0,0.0,1.0,0.0,1.0,False,False
Kinex||MPS39,4,1,0.0,1.0,0.0,1.0,False,False
Links||MPS200,1,0,0.0,1.0,0.0,1.0,False,False
MITAKO||907,412,241,-0.6699458517479933,0.5117362866617533,-0.1252516966119346,0.882274809055439,True,True
MWQ||14015459,1,0,0.0,1.0,0.0,1.0,False,False
Mahr||16ER,12,4,0.0,1.0,0.0,1.0,False,False
Mahr||16EWR,11,3,0.0,1.0,0.0,1.0,False,False
Mahr||16EWRi,4,0,0.0,1.0,0.0,1.0,False,False
Mahr||16EWV,2,0,0.0,1.0,0.0,1.0,False,False
Mahr||16EX,5,1,0.0,1.0,0.0,1.0,False,False
Mahr||18N,2,1,0.0,1.0,0.0,1.0,False,False
Mahr||25ES,2,1,0.0,1.0,0.0,1.0,False,False
Mahr||4102403,8,1,0.0,1.0,0.0,1.0,False,False
Mahr||500,2,0,0.0,1.0,0.0,1.0,False,False
Mauser||05.38001,2,1,0.0,1.0,0.0,1.0,False,False
"Mauser||05.38001,",1,1,0.0,1.0,0.0,1.0,False,False
Mauser||N070661,1,0,0.0,1.0,0.0,1.0,False,False
Mauser||PAC250BI,2,2,0.0,1.0,0.0,1.0,False,False
Mitutoyo||160,1,1,0.0,1.0,0.0,1.0,False,False
Mitutoyo||500,441,147,-0.4092473633010503,0.664149925683329,0.15416760780143438,1.166686416137031,True,True
